实体类型,候选名称,首次出现年份,出现次数,置信度,证据条目
事件,全民族抗日战争,1937,3,medium,中共中央北方局在太原组建新的领导机关。全民族抗日战争时期，中共中央还成立(或重新成立)了北方分局、晋察冀分局、太行分局、
事件,中国抗日战争,1945,2,medium,毛泽东发表《对日寇的最后一战》的声明。随后，朱德发布七道全面反攻命令。中国抗日战争进入全面反攻阶段。
事件,土地革命战争,1927,2,medium,中共中央成立南方局，重新成立北方局。土地革命战争时期，中共中央还成立了长江局、苏区中央局、苏区中央分局、湘鄂西中央分局、
事件,整风运动,1942,2,medium,上旬　毛泽东先后作《整顿学风党风文风》(后改为《整顿党的作风》)和《反对党八股》的讲演，提出反对主观主义以整顿学风、反对
事件,七七事变,1937,1,high,日本侵略军发动卢沟桥事变(七七事变)，当地中国驻军奋起抵抗。8日，中共中央向全国发出通电，指出：“平津危急！华北危急！中
事件,三大主力红军胜利会师,1936,1,high,红一、红四方面军在甘肃会宁会师。22日，红一、红二方面军在甘肃隆德将台堡(今属宁夏西吉)会师。至此，三大主力红军胜利会师
事件,世界反法西斯战争,1945,1,medium,日本代表在投降书上签字。侵华日军128万人向中国投降。至此，中国抗日战争胜利结束，世界反法西斯战争也胜利结束。9月3日成
事件,中国人民在抗日战争,1945,1,medium,日本代表在投降书上签字。侵华日军128万人向中国投降。至此，中国抗日战争胜利结束，世界反法西斯战争也胜利结束。9月3日成
事件,中国的反侵略战争,1938,1,medium,毛泽东作《论持久战》的长篇讲演，指出：日本是帝国主义强国，中国是半殖民地半封建弱国；日本的侵略战争是退步的、野蛮的，中国
事件,中国的正义战争,1938,1,medium,毛泽东作《论持久战》的长篇讲演，指出：日本是帝国主义强国，中国是半殖民地半封建弱国；日本的侵略战争是退步的、野蛮的，中国
事件,中央红军主力长征,1934,1,medium,中央红军主力长征后，中共中央决定成立以项英为首的苏区中央分局和中央军区、以陈毅为主任的中华苏维埃共和国中央政府办事处，领
事件,中央红军从长征,1934,1,medium,下旬-12月初　中央红军连续突破国民党军三道封锁线，在突破第四道封锁线的湘江战役中遭受重大损失。渡过湘江后，中央红军从长
