头实体,头类型,关系,尾实体,尾类型,年份,置信度,证据条目
陈独秀,Person,LED,第三次武装起义,Event,1926,medium,-翌年3月　中共中央和上海区委组织上海工人连续举行三次武装起义。1927年3月21日，第三次武装起义在陈独秀、罗亦农、赵
周恩来,Person,LED,第三次武装起义,Event,1926,medium,-翌年3月　中共中央和上海区委组织上海工人连续举行三次武装起义。1927年3月21日，第三次武装起义在陈独秀、罗亦农、赵
陈独秀,Person,LED,周恩来任起义,Event,1926,medium,-翌年3月　中共中央和上海区委组织上海工人连续举行三次武装起义。1927年3月21日，第三次武装起义在陈独秀、罗亦农、赵
周恩来,Person,LED,周恩来任起义,Event,1926,medium,-翌年3月　中共中央和上海区委组织上海工人连续举行三次武装起义。1927年3月21日，第三次武装起义在陈独秀、罗亦农、赵
朱德,Person,LED,南昌起义,Event,1927,medium,在以周恩来为书记的中共中央前敌委员会领导下，贺龙、叶挺、朱德、刘伯承等率领党所掌握和影响的军队两万余人，在江西南昌打响武
刘伯承,Person,LED,南昌起义,Event,1927,medium,在以周恩来为书记的中共中央前敌委员会领导下，贺龙、叶挺、朱德、刘伯承等率领党所掌握和影响的军队两万余人，在江西南昌打响武
周恩来,Person,LED,南昌起义,Event,1927,medium,在以周恩来为书记的中共中央前敌委员会领导下，贺龙、叶挺、朱德、刘伯承等率领党所掌握和影响的军队两万余人，在江西南昌打响武
贺龙,Person,LED,南昌起义,Event,1927,medium,在以周恩来为书记的中共中央前敌委员会领导下，贺龙、叶挺、朱德、刘伯承等率领党所掌握和影响的军队两万余人，在江西南昌打响武
陈毅,Person,LED,南方游击战争,Event,1934,medium,中央红军主力长征后，中共中央决定成立以项英为首的苏区中央分局和中央军区、以陈毅为主任的中华苏维埃共和国中央政府办事处，领
陈毅,Person,LED,中央红军主力长征,Event,1934,medium,中央红军主力长征后，中共中央决定成立以项英为首的苏区中央分局和中央军区、以陈毅为主任的中华苏维埃共和国中央政府办事处，领
张闻天,Person,LED,失败和长征,Event,1935,medium,中央政治局在贵州遵义召开扩大会议，集中解决当时具有决定意义的军事和组织问题。会议增选毛泽东为中央政治局常委，委托张闻天起
王稼祥,Person,LED,失败和长征,Event,1935,medium,中央政治局在贵州遵义召开扩大会议，集中解决当时具有决定意义的军事和组织问题。会议增选毛泽东为中央政治局常委，委托张闻天起
毛泽东,Person,LED,失败和长征,Event,1935,medium,中央政治局在贵州遵义召开扩大会议，集中解决当时具有决定意义的军事和组织问题。会议增选毛泽东为中央政治局常委，委托张闻天起
周恩来,Person,LED,失败和长征,Event,1935,medium,中央政治局在贵州遵义召开扩大会议，集中解决当时具有决定意义的军事和组织问题。会议增选毛泽东为中央政治局常委，委托张闻天起
张闻天,Person,LED,取消长征,Event,1935,medium,中央政治局在贵州遵义召开扩大会议，集中解决当时具有决定意义的军事和组织问题。会议增选毛泽东为中央政治局常委，委托张闻天起
王稼祥,Person,LED,取消长征,Event,1935,medium,中央政治局在贵州遵义召开扩大会议，集中解决当时具有决定意义的军事和组织问题。会议增选毛泽东为中央政治局常委，委托张闻天起
毛泽东,Person,LED,取消长征,Event,1935,medium,中央政治局在贵州遵义召开扩大会议，集中解决当时具有决定意义的军事和组织问题。会议增选毛泽东为中央政治局常委，委托张闻天起
周恩来,Person,LED,取消长征,Event,1935,medium,中央政治局在贵州遵义召开扩大会议，集中解决当时具有决定意义的军事和组织问题。会议增选毛泽东为中央政治局常委，委托张闻天起
任弼时,Person,LED,红六军团长征,Event,1936,medium,下旬-7月初　红二、红六军团长征抵达四川甘孜地区，与红四方面军会合。7月5日，红军第二方面军成立，贺龙任总指挥，任弼时任
