label,name,alias,time_text,content,intro,org_type,doc_type,found_time_text,pub_time_text,modern_name,source,checked
Document,1956年到1967年全国农业发展纲要(草案),,,,中央政治局提出《1956年到1967年全国农业发展纲要(草案)》,,著作,,1956年1月23日,,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,0
Document,1978-1985年全国科学技术发展规划纲要(草案),,,,全国科学大会召开,,著作,,1978年3月18日-31日,,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,0
Document,2004—2010年全国红色旅游发展规划纲要,,,,中共中央办公厅、国务院办公厅颁布关于印发《2004—2010年全国红色旅游发展规划纲要》的通知,,决议,,2004年12月19日,,https://www.dswxyjy.org.cn/GB/434461/434473/434997/index.html,0
Document,2010-2020年深化干部人事制度改革规划纲要,,,,中共中央办公厅印发《深化干部人事制度改革纲要》,,决议,,2000年6月23日,,https://www.dswxyjy.org.cn/GB/434461/434467/434688/index.html,0
Document,“七大”工作方针,,,,1939年4月21日 中共中央书记处发出关于发展华中武装力量的指示,,著作,,1938年4月21日,,https://www.dswxyjy.org.cn/GB/434461/434465/434747/index.html,0
Document,“三个代表”重要思想学习纲要,,,,由中央宣传部组织编写的《“三个代表”重要思想学习纲要》出版发行,,决议,,2003年6月10日,,https://www.dswxyjy.org.cn/GB/434461/434467/434675/index.html,0
Document,“三讲”教育是加强党的建设的新探索,,,,江泽民在纪念中国共产党成立七十八周年座谈会上的讲话中提出，“三讲”教育是加强党的建设的新探索,,著作,,1999年6月28日,,https://www.dswxyjy.org.cn/GB/434461/434467/434693/index.html,0
Document,“九五”期间军队建设计划纲要,,,,中央军委扩大会议通过《“九五”期间军队建设计划纲要》，提出实施科技强军战略,,决议,,1995年12月,,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,0
Document,“健康中国2030”规划纲要,,,,全国卫生与健康大会召开,,决议,,2016年8月19日-20日,,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,0
Document,〈共产党人〉发刊词,,,,毛泽东发表《〈共产党人〉发刊词》，指出统一战线、武装斗争、党的建设是中国共产党在中国革命中战胜敌人的三个法宝，并把党的建设称为“伟大的工程”,,著作,,1939年10月4日,,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,0
Document,〈内地与澳门关于建立更紧密经贸关系的安排〉服务贸易协议,,,,28日　《〈内地与香港关于建立更紧密经贸关系的安排〉服务贸易协议》、《〈内地与澳门关于建立更紧密经贸关系的安排〉服务贸易协议》分别签署，内地与香港、澳门服务贸易自由化基本实现,,著作,,2015年11月27日,,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,0
Document,〈内地与香港关于建立更紧密经贸关系的安排〉服务贸易协议,,,,28日　《〈内地与香港关于建立更紧密经贸关系的安排〉服务贸易协议》、《〈内地与澳门关于建立更紧密经贸关系的安排〉服务贸易协议》分别签署，内地与香港、澳门服务贸易自由化基本实现,,著作,,2015年11月27日,,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,0
Document,〈政治周报〉发刊理由,,,,毛泽东主编《政治周报》并发表题为《〈政治周报〉发刊理由》的发刊词，强调用革命工作的事实对敌人的宣传进行反攻,,著作,,1925年12月5日,,https://www.dswxyjy.org.cn/GB/434461/434473/434983/index.html,0
Document,一个极其重要的政策,,,,《解放日报》发表毛泽东写的社论《一个极其重要的政策》，阐述实行精兵简政政策的必要性和重要性,,著作,,1942年9月7日,,https://www.dswxyjy.org.cn/GB/434461/434470/434580/index.html,0
