序号,类别,抽取结果,原文依据,来源URL,判定,说明
1,实体·事件,在会议结束前，毛泽东作结论（事件）,在会议结束前，毛泽东作结论。他判断“今年不会有大内战”。结论指出：我们要准备有所让步以取得合法地位，利用国会讲坛去进攻。我们很需要利用这样一个时期来教育全国人民，来锻炼我们自己。我出去谈判的时机由政治局、书记处决定。在我去重庆期间，提议由少,https://www.dswxyjy.org.cn/GB/434461/434469/434626/index.html,错,以“会议”指代但未指明是哪次会议，名称不能独立成立
2,实体·文献,中国共产党党内监督条例（文献）,中共十八届六中全会召开,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
3,实体·事件,新华书店总店在北京成立（事件）,新华书店总店在北京成立。,https://www.dswxyjy.org.cn/GB/434461/434463/434811/index.html,对,
4,实体·事件,中共中央发出给红四军前委的指示信(即九月来信)（事件）,中共中央发出给红四军前委的指示信(即九月来信)。这封指示信是陈毅按照中央政治局会议精神和周恩来、李立三的多次谈话要点代中央起草并经周恩来审定的。信中肯定红四军建立以来的成绩和经验，对红四军的工作任务作了一系列明确的指示。指出：从你们过去的艰,https://www.dswxyjy.org.cn/GB/434461/434470/434601/index.html,对,
5,实体·组织,中华人民共和国政府（组织）,中缅两国签订《中华人民共和国政府和缅甸联邦政府关于两国边界问题的协定》、《中华人民共和国和缅甸联邦之间的友好和互不侵犯条约》,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
6,实体·文献,关于推进海南国际旅游岛建设发展的若干意见（文献）,国务院印发《关于推进海南国际旅游岛建设发展的若干意见》,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
7,实体·事件,邓小平在会见英国前首相希思时，阐述中国政府解决香港问题的政策（事件）,邓小平在会见英国前首相希思时，阐述中国政府解决香港问题的政策。指出：香港的主权是中国的。如果中国一九九七年那时不把香港收回来，我们这些人谁也交不了账。新界的租借，香港岛、九龙半岛的割让，是过去不平等条约定的，现在实际上是废除条约的问题。,https://www.dswxyjy.org.cn/GB/434461/434465/434732/index.html,对,
8,实体·事件,国务院印发《关于进一步推进户籍制度改革的意见》（事件）,国务院印发《关于进一步推进户籍制度改革的意见》。“十三五”时期，1亿农业转移人口和其他常住人口在城镇落户目标顺利实现。,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
9,实体·文献,关于加强人民体育运动工作的报告（文献）,毛泽东为中华全国体育总会成立大会题词“发展体育运动，增强人民体质”,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
10,实体·事件,中共中央印发《中国共产党支部工作条例(试行)》（事件）,中共中央印发《中国共产党支部工作条例(试行)》。,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html,对,
