head,head_type,rel,tail,tail_type,position,time_text,source
中国劳动组合书记部在上海成立,Event,OCCURRED_IN,上海,Location,,1921年8月11日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中国社会主义青年团第一次全国代表大会在广州召开，中国社会主义青年团成立,Event,OCCURRED_IN,广州,Location,,1922年5月5日-10日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中国共产党第二次全国代表大会在上海举行,Event,OCCURRED_IN,上海,Location,,1922年7月16日-23日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中国共产党第三次全国代表大会在广州举行,Event,OCCURRED_IN,广州,Location,,1923年6月12日-20日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中国共产党第四次全国代表大会在上海举行,Event,OCCURRED_IN,上海,Location,,1925年1月11日-22日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
第二次全国劳动大会在广州召开，中华全国总工会成立,Event,OCCURRED_IN,广州,Location,,1925年5月1日-7日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中华民国国民政府在广州成立,Event,OCCURRED_IN,广州,Location,,1925年7月1日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中央执行委员会扩大会议在北京召开,Event,OCCURRED_IN,北京,Location,,1925年10月,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
毛泽东,Person,AUTHORED,中国社会各阶级的分析,Document,,1925年12月1日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
毛泽东,Person,AUTHORED,湖南农民运动考察报告,Document,,1927年3月,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中国共产党第五次全国代表大会在武汉举行,Event,OCCURRED_IN,武汉,Location,,1927年4月27日-5月9日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中共中央在湖北汉口召开紧急会议(八七会议),Event,OCCURRED_IN,湖北,Location,,1927年8月7日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中央临时政治局在上海召开扩大会议，提出以城市为中心举行全国武装暴动的策略,Event,OCCURRED_IN,上海,Location,,1927年11月9日-10日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中国共产党第六次全国代表大会在苏联莫斯科近郊举行,Event,OCCURRED_IN,苏联,Location,,1928年6月18日-7月11日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
红四军党的第九次代表大会(古田会议)在福建上杭古田召开,Event,OCCURRED_IN,福建,Location,,1929年12月28日-29日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
在中国共产党领导和推动下，中国左翼作家联盟在上海成立,Event,OCCURRED_IN,上海,Location,,1930年3月,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
毛泽东,Person,AUTHORED,调查工作,Document,,1930年5月,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
李立三,Person,AUTHORED,新的革命高潮与一省或几省首先胜利,Document,,1930年6月11日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中共扩大的六届四中全会在上海召开,Event,OCCURRED_IN,上海,Location,,1931年1月7日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中华苏维埃第一次全国代表大会在江西瑞金召开，宣布成立中华苏维埃共和国临时中央政府,Event,OCCURRED_IN,江西,Location,,1931年11月7日-20日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中华苏维埃第一次全国代表大会在江西瑞金召开，宣布成立中华苏维埃共和国临时中央政府,Event,FOUNDED,中华苏维埃共和国临时中央政府,Organization,,1931年11月7日-20日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
习仲勋,Person,HELD_POSITION,苏维埃政府,Organization,主席,1932年12月,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
朱德,Person,HELD_POSITION,中国工农红军,Organization,总司令,1933年5月8日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中央政治局在贵州遵义召开扩大会议，集中解决当时具有决定意义的军事和组织问题,Event,OCCURRED_IN,贵州,Location,,1935年1月15日-17日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
张闻天,Person,AUTHORED,中央关于反对敌人五次“围剿”的总结的决议,Document,,1935年1月15日-17日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中央红军翻越终年积雪的夹金山，与红四方面军在四川懋功会师,Event,OCCURRED_IN,四川,Location,,1935年6月,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
中央政治局在陕北瓦窑堡召开扩大会议，确定抗日民族统一战线的策略方针,Event,OCCURRED_IN,陕北,Location,,1935年12月17日-25日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
红一、红四方面军在甘肃会宁会师,Event,OCCURRED_IN,甘肃,Location,,1936年10月9日,http://cpc.people.com.cn/n1/2021/0628/c64387-32142446.html
