text,chapter,source
粉碎江青反革命集团，举国上下一片欢腾。人们早就对“四人帮”极其痛恨，希望尽早结束社会动乱，把我国建设成繁荣富强的现代化国家。这股猖獗十年、祸国殃民的政治势力终于被扫除掉，真是大快人心!各地一连数日举行集会、游行，人们载歌载舞，沉浸在多年未有的欢庆之中。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
结束“文化大革命”这场灾难，使中国获得了有利的发展契机。但是，十年浩劫留下的后果十分严重，要在短期内消除这场内乱造成的政治上思想上的混乱是很不容易的。党中央首先着手清查“四人帮”的帮派体系，部署开展揭发批判“四人帮”的运动，恢复党和国家的正常秩序，取得一定成绩。揭批“四人帮”，必然联系到十年内乱造成的冤假错案，对受迫害的干部、群众进行平反，特别是澄清“批邓、反击右倾翻案风”的是非，让邓小平重新出来工作和为天安门事件平反，成为广大干部群众的强烈要求。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
然而，让人们感到失望的是，1977年2月7日，《人民日报》、《红旗》杂志、《解放军报》同时发表的社论却提出“两个凡是”的指导方针，即:“凡是毛主席作出的决策，我们都坚决维护，凡是毛主席的指示，我们都始终不渝地遵循”。这种对毛泽东生前的决策和指示拒绝作任何分析的观点的出现，说明长期以来“左”的指导思想还未从根本上改变。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
“两个凡是”提出不久，1977年4月，尚未恢复领导职务的邓小平在给党中央的信中提出:“我们必须世世代代地用准确的完整的毛泽东思想来指导我们全党、全军和全国人民”。此后，他多次在不同场合批评“两个凡是”。陈云、叶剑英、聂荣臻、徐向前等一批老同志也反复强调实事求是的优良传统，抵制“两个凡是”的推行。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
在全国局势逐步稳定的基础上，在全党的要求下，1977年7月召开的党的十届三中全会终于决定恢复邓小平在1976年被撤销的全部职务。邓小平复出后，主动要求分管教育科学工作。他否定了曾得到毛泽东批准的“两个估计”(即:建国后十七年教育战线是“黑线专政”；知识分子的大多数是资产阶级知识分子)，肯定新中国成立后科教事业取得了很大成就，强调“科学技术是生产力”，为社会主义服务的脑力劳动者是劳动人民的一部分，使知识和知识分子重新受到重视，开始了科教领域的拨乱反正。1977年秋，在“文化大革命”中被废弃的高考制度得到恢复，全国高校重新通过统一考试招收新生。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
1977年8月12日至18日，党的第十一次全国代表大会召开。出席会议的代表1510人，代表全国3500多万党员。大会总结同江青反革命集团的斗争，宣告历时十年的“文化大革命”已经结束，重申在二十世纪内把我国建设成为社会主义现代化强国的根本任务。但这次大会仍然肯定“文化大革命”的错误理论和实践，因而没有从根本上着手纠正“文化大革命”的错误。大会新产生的中央委员会选举华国锋为主席，选举叶剑英、邓小平、李先念、汪东兴为副主席。十一大虽然没有完成“文化大革命”结束后制定新的路线、方针、政策的任务，但邓小平重新当选中央副主席，并经过十一届三中全会，成为党的第二代中央领导集体的核心，对中国后来的发展产生了深远影响。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
1978年二三月间举行的第五届全国人民代表大会第一次会议，选举叶剑英为全国人大常委会委员长；继续任命华国锋为国务院总理，任命邓小平、李先念、徐向前等13人为副总理。在此同时举行的全国政协五届一次会议，选举邓小平为全国政协主席。在“文化大革命”期间几乎停止活动的政协重新恢复工作，对于坚持和发展中国共产党领导的多党合作和政治协商制度，发展统一战线，具有重要意义。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
人们急切地期待着中国迅速摆脱困境，迈开大步前进。但是，由于五十年代后期以来，特别是“文化大革命”中“左”倾错误的长期影响，个人崇拜仍在束缚着一些人的头脑，拨乱反正每前进一步，都十分艰难。揭批“四人帮”，受到“两个凡是”方针的限制；平反冤假错案，一遇到毛泽东批准的、定了的案子，便不准触动；在科学、教育、文化领域进行拨乱反正，也有人拿出毛泽东批过的文件进行阻挠。在生产上，混乱状况有所好转，国民经济得到比较快的恢复，人民生活水平也有所提高，但又发生急于求成的倾向，加剧了国民经济的比例失调。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
这样，在“文化大革命”结束后的两年间，党和国家的工作虽然有所前进，但并没有从指导思想上彻底清理“文化大革命”的错误，实现历史的转折，而是继续肯定“文化大革命”的“左”倾理论，在“以阶级斗争为纲”的框架内“抓纲治国”，结果导致在前进道路上出现徘徊局面。历史和现实的要求是，党必须从指导思想上彻底清理“文化大革命”时期和多年来的“左”倾错误，在总结建国以来成功和失误的历史经验的基础上，按照中国的实际情况，探索出一条能使生产力得到更大发展、人民生活水平得到较快提高的新道路。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
作为毛泽东临终前指定的接班人，华国锋在粉碎江青反革命集团的斗争中是有功的，也试图结束“文化大革命”造成的混乱，使社会、经济发展得更快一点。但是，他没有能从根本上认清“文化大革命”的危害，特别是没有认识到毛泽东晚年提出“无产阶级专政下继续革命的理论”的错误，未能解决既要纠正“文化大革命”的错误，又要维护毛泽东的历史地位和毛泽东思想作为党的指导思想的地位这个复杂的问题，因此也就无法承担起拨乱反正、带领全党走向转折的重任。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
面对“两个凡是”造成的思想阻碍，人们开始感到，要彻底澄清林彪、“四人帮”造成的思想混乱，不能不首先解决这样的问题，即:究竟应当用怎样的态度对待毛泽东的指示?判定历史是非的标准到底是什么?在广大干部群众对拨乱反正的强烈要求下，一批干部和理论工作者开始挣脱“两个凡是”的束缚，在不同场合讨论关于真理的标准问题并酝酿撰写文章。1978年5月11日，《光明日报》发表经中央党校副校长胡耀邦审定的《实践是检验真理的唯一标准》一文。文章鲜明地提出:社会实践不仅是检验真理的标准，而且是唯一的标准。马克思主义的理论宝库不是一堆僵死不变的教条，对“四人帮”设置的禁锢人们思想的禁区，要敢于触及，弄清是非。尽管文章只是对马克思主义的基本常识作正面阐述，实际上却批判了“两个凡是”，因而立即引起“两个凡是”同实事求是两种观点的激烈争论。由于“两个凡是”的影响相当顽强，该文的观点受到一些领导人的强烈指责。真理标准讨论面临着巨大压力。,第八章　十一届三中全会开辟社会主义事业发展新时期,《中国共产党简史》· 中共中央对外联络部党史学习平台
